partID,age,participant side,trial_num,trial_name,response_29Left_16_right,
106,6.726027397,L,13,20_will_could2.jpg,16,6
106,6.726027397,L,14,80_will_should2.jpg,29,6
106,6.726027397,L,15,100_could_will2.jpg,16,6
106,6.726027397,L,16,100_will_should2.jpg,29,6
106,6.726027397,L,17,20_can_could2.jpg,16,6
106,6.726027397,L,18,20_should_could2.jpg,16,6
107,6.339726027,R,1,100_should_could2.jpg,29,6
107,6.339726027,R,2,80_could_should2.jpg,16,6
107,6.339726027,R,3,80_should_could2.jpg,29,6
107,6.339726027,R,4,20_will_could2.jpg,16,6
107,6.339726027,R,5,100_could_should2.jpg,16,6
107,6.339726027,R,6,100_will_should2.jpg,29,6
107,6.339726027,R,7,80_should_will2.jpg,16,6
107,6.339726027,R,8,100_could_will2.jpg,16,6
107,6.339726027,R,9,20_could_can2.jpg,29,6
107,6.339726027,R,10,80_will_should2.jpg,16,6
107,6.339726027,R,11,100_will_could2.jpg,29,6
107,6.339726027,R,12,80_will_could2.jpg,29,6
107,6.339726027,R,13,20_could_should2.jpg,16,6
107,6.339726027,R,14,20_should_could2.jpg,16,6
107,6.339726027,R,15,100_should_will2.jpg,16,6
107,6.339726027,R,16,20_can_could2.jpg,16,6
107,6.339726027,R,17,80_could_will.jpg,16,6
107,6.339726027,R,18,20_could_will2.jpg,29,6
108,6.339726027,R,1,20_could_should2.jpg,16,6
108,6.339726027,R,2,20_will_could2.jpg,29,6
108,6.339726027,R,3,100_will_should2.jpg,16,6
108,6.339726027,R,4,80_should_will2.jpg,16,6
108,6.339726027,R,5,80_could_should2.jpg,29,6
108,6.339726027,R,6,80_will_should2.jpg,29,6
108,6.339726027,R,7,20_could_can2.jpg,16,6
108,6.339726027,R,8,100_could_should2.jpg,16,6
108,6.339726027,R,9,100_should_will2.jpg,29,6
108,6.339726027,R,10,20_should_could2.jpg,16,6
108,6.339726027,R,11,100_will_could2.jpg,16,6
108,6.339726027,R,12,100_should_could2.jpg,16,6
108,6.339726027,R,13,80_should_could2.jpg,16,6
108,6.339726027,R,14,20_could_will2.jpg,29,6
108,6.339726027,R,15,80_could_will.jpg,29,6
108,6.339726027,R,16,80_will_could2.jpg,29,6
108,6.339726027,R,17,100_could_will2.jpg,16,6
108,6.339726027,R,18,20_can_could2.jpg,29,6
109,5.380821918,R,1,80_should_could2.jpg,16,5
109,5.380821918,R,2,80_will_could2.jpg,29,5
109,5.380821918,R,3,80_could_will.jpg,29,5
109,5.380821918,R,4,20_will_could2.jpg,16,5
109,5.380821918,R,5,20_could_can2.jpg,16,5
109,5.380821918,R,6,100_should_will2.jpg,29,5
109,5.380821918,R,7,20_could_should2.jpg,16,5
109,5.380821918,R,8,100_will_should2.jpg,16,5
109,5.380821918,R,9,100_should_could2.jpg,16,5
109,5.380821918,R,10,100_will_could2.jpg,29,5
109,5.380821918,R,11,20_could_will2.jpg,16,5
109,5.380821918,R,12,80_will_should2.jpg,29,5
109,5.380821918,R,13,100_could_should2.jpg,16,5
109,5.380821918,R,14,80_could_should2.jpg,16,5
109,5.380821918,R,15,20_can_could2.jpg,16,5
109,5.380821918,R,16,80_should_will2.jpg,29,5
109,5.380821918,R,17,20_should_could2.jpg,29,5
109,5.380821918,R,18,100_could_will2.jpg,16,5
110,6.18630137,R,1,80_could_should2.jpg,16,6
110,6.18630137,R,2,20_can_could2.jpg,16,6
110,6.18630137,R,3,80_will_could2.jpg,29,6
110,6.18630137,R,4,100_should_could2.jpg,29,6
110,6.18630137,R,5,100_will_should2.jpg,29,6
110,6.18630137,R,6,80_will_should2.jpg,29,6
110,6.18630137,R,7,20_could_can2.jpg,29,6
110,6.18630137,R,8,100_will_could2.jpg,29,6
110,6.18630137,R,9,20_will_could2.jpg,29,6
110,6.18630137,R,10,80_should_will2.jpg,16,6
110,6.18630137,R,11,80_could_will.jpg,16,6
110,6.18630137,R,12,20_could_should2.jpg,29,6
110,6.18630137,R,13,20_could_will2.jpg,29,6
110,6.18630137,R,14,20_should_could2.jpg,29,6
110,6.18630137,R,15,80_should_could2.jpg,29,6
110,6.18630137,R,16,100_could_will2.jpg,16,6
110,6.18630137,R,17,100_could_should2.jpg,29,6
110,6.18630137,R,18,100_should_will2.jpg,16,6
112,5.380821918,R,1,100_will_should2.jpg,16,5
112,5.380821918,R,2,100_should_could2.jpg,16,5
112,5.380821918,R,3,80_should_will2.jpg,16,5
112,5.380821918,R,4,20_will_could2.jpg,29,5
112,5.380821918,R,5,20_could_should2.jpg,29,5
112,5.380821918,R,6,100_could_should2.jpg,16,5
112,5.380821918,R,7,20_can_could2.jpg,29,5
112,5.380821918,R,8,80_will_could2.jpg,29,5
112,5.380821918,R,9,80_should_could2.jpg,29,5
112,5.380821918,R,10,100_could_will2.jpg,16,5
112,5.380821918,R,11,20_could_can2.jpg,16,5
112,5.380821918,R,12,100_should_will2.jpg,29,5
112,5.380821918,R,13,80_could_will.jpg,16,5
112,5.380821918,R,14,100_will_could2.jpg,16,5
112,5.380821918,R,15,20_should_could2.jpg,16,5
112,5.380821918,R,16,80_will_should2.jpg,16,5
112,5.380821918,R,17,80_could_should2.jpg,16,5
112,5.380821918,R,18,20_could_will2.jpg,16,5
113,4.071232877,R,1,80_will_could2.jpg,16,4
